place_id,business_name,categoria_buscada,types,user_ratings_total,price_level,vicinity,latitud,longitud,business_status,rating
ChIJc--3_tr_zYURXmdk3JMg63k,Mi Gusto Es,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",2441,2,"Periferico Sur 4609 B, Parques del Pedregal, Ciudad de México",19.301794,-99.1961058,OPERATIONAL,4.4
ChIJHdRgw3cAzoURAi66N-ZL1OI,Cafebrería El Péndulo,restaurant,"['book_store', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",5154,2,"Anillo Periférico Boulevard Adolfo López Mateos 4690-2° Piso, Jardines del Pedregal de San Ángel, Ciudad de México",19.3039706,-99.1913546,OPERATIONAL,4.5
ChIJxYNTT3AAzoUR2KEQfh0ezF8,KFC,restaurant,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2673,2,"Periferico Sur 9, Insurgentes Cuicuilco",19.3038697,-99.1805824,OPERATIONAL,3.7
ChIJqbumKnYAzoURGbqpRQEtv4s,Restaurante Garabatos Perisur,restaurant,"['cafe', 'bakery', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3107,2,"Anillo Periférico Boulevard Adolfo López Mateos 4690-4690, Ciudad de México",19.3044996,-99.1888575,OPERATIONAL,4.4
ChIJvf3Dh9j_zYUR5etQFpAl2Bw,Miyako Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",2553,3,"Periferico Sur 4690-Loc 190-191, Jardines del Pedregal, Ciudad de México",19.3040053,-99.1888575,OPERATIONAL,4.5
ChIJ5eXcxHcAzoUR1PvuU0xza-c,Sixties Burger,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",814,2,"Anillo Periférico 4690, Ciudad de México",19.3045857,-99.1894528,OPERATIONAL,3.8
ChIJcVD1JnYAzoUR5at7i6LvbnQ,KFC,restaurant,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1243,2,"Anillo Periférico 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3047098,-99.1896606,OPERATIONAL,3.6
ChIJJ91GJnYAzoUR79lpZh7a6IA,McDonald's,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",1796,2,"Anillo Periférico 4690, Ciudad de México",19.3046285,-99.1896371,OPERATIONAL,3.8
ChIJJVVOT3AAzoUR5qqPIiqPZGE,Pizza Hut,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",1520,2,"Periferico Sur 9, Insurgentes Cuicuilco, Ciudad de México",19.3038794,-99.1804499,OPERATIONAL,4
ChIJHeIAZgABzoURgfC5Zx6_39Q,Carl's Jr.,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",43,2,"Periferico Sur 4690, Insurgentes Cuicuilco, Ciudad de México",19.3048959,-99.1892179,OPERATIONAL,3.5
ChIJ7XZw7nABzoURonvAJFLDKms,El Farolito Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",8,,"Anillo, Periferico Sur 4690, Jardines del Pedregal de San Ángel",19.3043779,-99.1896673,OPERATIONAL,4.1
ChIJI7vB_88BzoURyyQJOCDqic4,Experiencia Gourmet Liverpool,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",1197,2,"Periferico Sur 4690, Jardines del Pedregal de San Ángel",19.3043779,-99.1896673,OPERATIONAL,4.2
ChIJGY5H9Qb_zYURtVMydIyL-kE,Starbucks Perisur Reserve,restaurant,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",523,2,"Boulevard Adolfo Ruiz Cortines 4690, Insurgentes Cuicuilco, Ciudad de México",19.3048,-99.19,OPERATIONAL,4.4
ChIJ3dQoiY8BzoURzQFZmR3-HvA,Restaurante Liverpool,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",73,,"Periferico Sur 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3042002,-99.1896238,OPERATIONAL,2.3
ChIJZ1Rxhpf_zYURFILCkam5k18,The Cheesecake Factory Perisur,restaurant,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4572,3,"Anillo Periférico Boulevard Adolfo López Mateos 4690, Insurgentes Cuicuilco, Ciudad de México",19.3045546,-99.1901196,OPERATIONAL,4.5
ChIJRf5Ydn4BzoURqfdj9PP1Bl4,Mexicano al 100,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",10,,"Insurgentes Cuicuilco, Ciudad de México",19.3042271,-99.1898006,OPERATIONAL,1.9
ChIJR8jvphYBzoURirNV_-1tUUE,Domino's Perisur,restaurant,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",376,2,"Periferico Sur 4690, Jardines del Pedregal, Ciudad de México",19.304316,-99.188971,OPERATIONAL,3.7
ChIJBeT2ewD_zYURkEcbmfayHZ4,Centro comercial Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",153,,"Anillo Periférico Sur 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3044856,-99.190217,OPERATIONAL,4.7
ChIJC0QJ3jD_zYURGEVYE1Wguxc,Sushi Roll,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",2112,2,"Anillo Periférico 4690, Insurgentes Cuicuilco, Ciudad de México",19.3043912,-99.1904043,OPERATIONAL,4.4
ChIJJYrgebsBzoURMgaLN2q__9Q,Lucky Bones,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",135,,"Anillo Periférico 4690-loc 504, Insurgentes Cuicuilco, CDXM",19.304584,-99.1905974,OPERATIONAL,4.5
ChIJLUc3LJf_zYURjNPy6zwzKBM,Fonda Argentina Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",304,,"en área de restaurantes, Galerías Perisur, Anillo Periférico 4690-Primer piso, Insurgentes Cuicuilco, Ciudad de México",19.304584,-99.1905974,OPERATIONAL,4.1
ChIJVX2evFv_zYURchfreFIA52E,Green Grass Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",200,,"Periferico Sur 4690-Local 517, Jardines del Pedregal",19.303739,-99.190184,OPERATIONAL,4.4
ChIJxdrpZPQBzoURTX9bxs9Hz5g,Le Macaron Boutique Liverpool Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",5,3,"Anillo Periférico Sur 4119, Insurgentes Cuicuilco, Ciudad de México",19.3042144,-99.1882919,OPERATIONAL,3.4
ChIJUQ-Iftj_zYURtkRLf5oyQAg,ITZU,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",55,,"Centro Comercial Perisur, Periferico Sur 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3036803,-99.1902066,OPERATIONAL,2.6
ChIJfwdhudn_zYURvpPyJXCW5U0,Star Grill,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",555,,"Periferico Sur 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3045316,-99.1911815,OPERATIONAL,4.7
ChIJMwgOUhv_zYURWADMnwotMNw,Creperie de la Paix PERISUR,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,,"Periferico Sur 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3045316,-99.1911815,OPERATIONAL,2
ChIJRym6BUP_zYURfIeA-jBHQB4,El Restaurante Palacio Perisur,restaurant,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']",31,,"Anillo Periférico Sur, Jardines del Pedregal de San Ángel, Ciudad de México",19.3045316,-99.1911815,OPERATIONAL,3.8
ChIJp21F6rD_zYURyKEXQo2VHyg,Animation Cafe,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",1118,,"Periferico Sur 4690, Jardines del Pedregal de San Ángel",19.3038249,-99.1880988,OPERATIONAL,4
ChIJbQBeUt3_zYURSv2ytJYp7w4,Fogo De Chão Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",11279,,"Anillo, Periferico Sur 4690, Insurgentes Cuicuilco, Ciudad de México",19.3032542,-99.1901517,OPERATIONAL,4.9
ChIJo3KeewABzoUR8w9eWIibXXE,Tacos y Burger Grill,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,,"Acantilado 47, Insurgentes Cuicuilco, Ciudad de México",19.3056112,-99.1876852,OPERATIONAL,5
ChIJzZyzYHYAzoURTu1KHD63iio,Tacos La Carpa,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",246,,"Avenida Centro Comercial 190, Insurgentes Cuicuilco, Ciudad de México",19.3055295,-99.1875969,OPERATIONAL,4.1
ChIJ5b4l5YIBzoURBr6zVKDsChQ,Tacos Perisur,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",20,,"Acantilado 1, Insurgentes Cuicuilco, Ciudad de México",19.305665,-99.187657,OPERATIONAL,4.4
ChIJJbKiQlsBzoURmdtI9TCR8fo,El rincón del crack gourmet,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",19,,"Acantilado 1, Insurgentes Cuicuilco",19.305665,-99.187657,CLOSED_TEMPORARILY,4.5
ChIJ110OZQABzoURauXswpWiBoQ,Tacos de Mixiote “El Mixiotito De Oro” L,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,"Plaza Perisur, Lateral Periférico, Insurgentes Cuicuilco, Ciudad de México",19.3028171,-99.1894119,OPERATIONAL,
ChIJ_VWFK8H_zYURfxB1UvSHFDU,Sliders Palacio De Hierro Perisur,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",303,,"Plaza Perisur, Periferico Sur 4690, Jardines del Pedregal, Ciudad de México",19.3039888,-99.1915826,OPERATIONAL,4.3
ChIJI5uPMFYBzoUR3EgStY4jPWo,Sr.chilaquiles,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",7,,"Avenida Centro Comercial, Jardines del Pedregal, Ciudad de México",19.3055507,-99.1873739,OPERATIONAL,5
ChIJ2RtbIJX_zYURWGTB3KL0GWI,La Cantina Palacio Perisur,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",98,,"Anillo Periférico 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3043362,-99.1917838,OPERATIONAL,3.8
ChIJnTAkwfv_zYURuGIeLy9wrkI,Le Pain Quotidien,restaurant,"['restaurant', 'cafe', 'bakery', 'point_of_interest', 'food', 'store', 'establishment']",80,2,"Perisur Mall, Anillo Periférico Sur 4690, Ciudad de México",19.3041071,-99.191945,OPERATIONAL,4.4
ChIJfaD1OwD_zYUR09aCXgKCrKA,Peltre Lonchería Perisur,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",110,,"Anillo Periférico 4690, Insurgentes Cuicuilco, Ciudad de México",19.3040571,-99.1919665,OPERATIONAL,3.9
ChIJ93siIAD_zYUR7jw7m_Samlo,Cancino,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",199,,"Anillo Periférico 4690, Insurgentes Cuicuilco, Ciudad de México",19.3039784,-99.1919481,OPERATIONAL,4.7
ChIJucRo2xr_zYURI1_5TOXgG0Y,El Café Palacio Perisur,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",47,,"Av. Anillo Periferico Sur No. 4690 Palacio Perisur, 2do Piso, Jardines del Pedregal, Ciudad de México",19.3039113,-99.1919568,OPERATIONAL,3.8
ChIJY5Fd6lb_zYURfVMmAeC7AqU,Taquería El Califa (Terraza Palacio Perisur),restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",24,,"Anillo Periférico 4690, Insurgentes Cuicuilco, Ciudad de México",19.3039461,-99.1920168,OPERATIONAL,4.3
ChIJJ6onKg8BzoUR-6erc6nOHWg,Juanita's hot dogs y hamburguesas,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,,"Cúspide 53, Parques del Pedregal, Ciudad de México",19.3020849,-99.189138,OPERATIONAL,5
ChIJnwiOyvUBzoUR0Ad68mdC6Bg,Quesadillas y Gorditas,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",1,,"Insurgentes Cuicuilco, Ciudad de México",19.3071016,-99.1869266,OPERATIONAL,4
ChIJpxqKNBb_zYURaisJTTmn5XM,La Chilaquiliza,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",4,,"Las Praderas 60, Jardines del Pedregal, Ciudad de México",19.3076973,-99.1913995,OPERATIONAL,4.3
ChIJv75_reABzoURmou4oC9fGdw,Tacos de guisado las Cazuelas Aris,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,,"Avenida del Imán 1242, Insurgentes Cuicuilco, Ciudad de México",19.3051181,-99.1857978,OPERATIONAL,4
ChIJeQ-8FSoBzoURjeZenxjlANA,Mati & Silvia,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,,"Avenida del Imán, Insurgentes Cuicuilco, Ciudad de México",19.30512,-99.1857636,OPERATIONAL,5
ChIJY6ugXQABzoURRyypTEgFlTE,Tostadas Violeta,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,"Avenida del Imán & Avenida de los Insurgentes Sur, Insurgentes Cuicuilco, Ciudad de México",19.3051229,-99.1857334,OPERATIONAL,
ChIJqa_Vqm3_zYURGyiLL4swBYk,Tacos de canasta la roca,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,"Estepa 11, Ciudad de México",19.3032895,-99.1933088,OPERATIONAL,
ChIJJb5UIQABzoURnkCLsDZ8F9U,Animación Cafe,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",1,,"Torre Perisur, Avenida de la Alborada, Miguel Hidalgo Villa Olímpica, Ciudad de México",19.3014963,-99.187237,OPERATIONAL,5
ChIJZZFGwb3_0YURZbU5_NelII0,El Globo,cafe,"['cafe', 'bakery', 'food', 'store', 'point_of_interest', 'establishment']",350,2,"Periferico Sur 4690-272, Jardines del Pedregal, Ciudad de México",19.3044911,-99.1910415,OPERATIONAL,4
ChIJz9-s1HcAzoURdE0fRu2VeHM,Häagen-Dazs,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",837,3,"Anillo Periférico Sur 4690, Ampliación del, Jardines del Pedregal de San Ángel, Ciudad de México",19.304376,-99.1890049,OPERATIONAL,4.5
ChIJJw3agNj_zYURrJo_6vHxZ-E,Starbucks Perisur,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4433,2,"Anillo Periférico 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3039072,-99.1888903,OPERATIONAL,4.3
ChIJAec2Mlr_zYURQrX1FJQO5n8,BUCRA COFFEE PERISUR,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",501,,"Anillo Periférico 4690, Insurgentes Cuicuilco, Ciudad de México",19.3040122,-99.1902687,OPERATIONAL,4.7
ChIJt_bLe40BzoURwg4_vgaY8o0,El patio pedregal,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,,"de san angel, Av.centro comercial, Cuicuilco 156, Jardines del Pedregal de San Ángel, Ciudad de México",19.3056552,-99.1881115,OPERATIONAL,
ChIJhe9RODT_zYUROlCYIxBODX0,Café Lance Wyman,cafe,"['cafe', 'food', 'point_of_interest', 'establishment']",13,,"El Palacio de Hierro Perisur, en Mundo de Lujo, Anillo Periférico 4690-Planta Baja, Jardines del Pedregal de San Ángel, Ciudad de México",19.3043388,-99.1918088,OPERATIONAL,4.4
ChIJI1XjXQABzoURLTHxNEhuFJw,Desayunos meli,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,,"Anillo Periférico Boulevard Adolfo López Mateos 4829, Parques del Pedregal, Ciudad de México",19.3020515,-99.18835,OPERATIONAL,
ChIJhU4KbwD_zYURTjImM7VUj4E,Zacatepetl Desayunos,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1,,"Avenida Zacatepetl 66, Jardines del Pedregal de San Ángel, Ciudad de México",19.3030278,-99.193152,OPERATIONAL,5
ChIJJ0vU3tn_zYURNVQsYP32w64,Cafetería La Esperanza,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",77,,"Calle Alborada 430, Parques del Pedregal, Ciudad de México",19.3011384,-99.1930924,OPERATIONAL,3.9
ChIJp2AC_yoBzoURCmCX5n43TZ4,Tango's Barber,cafe,"['cafe', 'hair_care', 'food', 'health', 'store', 'point_of_interest', 'establishment']",33,,"Selva 53, Insurgentes Cuicuilco, Ciudad de México",19.3049838,-99.1840432,OPERATIONAL,4.4
ChIJ7Uy9rVsBzoURjWGWnOg6-BA,UNO pa' llevar CAFÉ,cafe,"['cafe', 'food', 'point_of_interest', 'establishment']",1,,"Selva 53, Insurgentes Cuicuilco",19.3049879,-99.1839931,OPERATIONAL,5
ChIJx3wyP54BzoURCNKyw1IPkEY,TRES 21 Arte - Café,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",23,,"Selva 4, Insurgentes Cuicuilco, Ciudad de México",19.3037693,-99.183965,OPERATIONAL,4.5
ChIJP2SdD6oBzoURxKw4ug7Or7g,Cafeteria de la unidad de posgrado,cafe,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",22,,"Circuito de los Posgrados S/N, Ciudad Universitaria, Ciudad de México",19.3093221,-99.1851332,OPERATIONAL,2.8
ChIJuYAU7HQAzoURk1HSMRQjH6o,Coffee Capital Economics Graduate,cafe,"['cafe', 'food', 'point_of_interest', 'establishment']",46,,"Posgrado de Economía, Circuito, Mario de La Cueva s/n-3er piso, Ciudad Universitaria, Ciudad de México",19.3108889,-99.1860402,OPERATIONAL,4.4
ChIJPzmTJAABzoURD0r8JJBTcQ4,Elotes y esquites “El desgraciado”,cafe,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",7,,"Avenida Insurgentes Sur 3493, Miguel Hidalgo Villa Olímpica, Ciudad de México",19.2978508,-99.1858601,OPERATIONAL,4.4
ChIJp90NvqoBzoURFCOjysQysg0,Rumbo Café,cafe,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",8,,"Circuito Centro Cultural S/N, Ciudad de México",19.3113367,-99.1850036,OPERATIONAL,5
ChIJXbrA9Ar_zYURiir7-GbetpU,La Chiquita,cafe,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,,"Camino Santa Teresa 187, Parques del Pedregal, Ciudad de México",19.2970103,-99.1911166,OPERATIONAL,
ChIJRyriRQD_zYURcFpOyM-huxA,Gourmet Solutions,cafe,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2,,"Camino Santa Teresa 305, Charra, Ciudad de México",19.2979247,-99.1941561,OPERATIONAL,5
ChIJFS3vUQABzoURnnExixVNyAk,Miguel Ángel,cafe,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,,"Duna 17, Insurgentes Cuicuilco, Ciudad de México",19.3048575,-99.1804228,OPERATIONAL,
ChIJr_1HJ_0BzoURlnWxKoaPV9U,Maison Kayser Oficinas Elektra y Banco Azteca,cafe,"['bakery', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",22,3,"Avenida Insurgentes Centro 3579, La Joya, Ciudad de México",19.2967472,-99.185951,OPERATIONAL,5
ChIJyW_W984BzoUR8poPu8otLX4,DESAYUNOS EDWIN,cafe,"['cafe', 'food', 'point_of_interest', 'establishment']",4,,"Avenida Panamericana, Pedregal de Carrasco, Ciudad de México",19.3040147,-99.1800502,OPERATIONAL,5
ChIJFWLkdz4BzoURwpIWTVHh2wY,Rad Rush,bar,"['bar', 'point_of_interest', 'establishment']",,,"Anillo, Periferico Sur 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3043779,-99.1896673,OPERATIONAL,
ChIJH_-aVgb_zYURZudYwYsp1nA,La Barra Palacio Perisur,bar,"['bar', 'point_of_interest', 'establishment']",,,"junto a Caballeros, AV. ANILLO, Periferico Sur 4690-Piso 2, Jardines del Pedregal",19.3036803,-99.1902066,OPERATIONAL,
ChIJ2cO6B_P_zYURV-rPtLamh6I,Champagne Bar MOET,bar,"['bar', 'point_of_interest', 'establishment']",,,"El Palacio de Hierro Perisur (Planta baja - Mundo de lujo Av. Anillo, Periferico Sur 4690, Jardines del Pedregal",19.304571,-99.1920684,OPERATIONAL,
ChIJw15UcAABzoURGukRzeO9lYY,La escondida drinks snacks,bar,"['bar', 'point_of_interest', 'establishment']",,,"Bosques del Lago, Bosques de Bolognia 1 1, Cuautitlán Izcalli",19.3074846,-99.1871265,OPERATIONAL,
ChIJhRj8dgABzoURDRrHp9MSewE,Iztapalapa,bar,"['bar', 'point_of_interest', 'establishment']",,,"Avenida Insurgentes Centro 3700, Insurgentes Cuicuilco, Ciudad de México",19.3069496,-99.1861488,OPERATIONAL,
ChIJtWLTCAABzoUR8OcMVg57x7E,Polanco,bar,"['bar', 'point_of_interest', 'establishment']",,,"Ocaso 93, Insurgentes Cuicuilco, Ciudad de México",19.3060642,-99.1825749,OPERATIONAL,
ChIJ__-_0ncAzoURuUfXbbruans,Crepes & Waffles Perisur Ciudad de México,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",2837,2,"Anillo, Periferico Sur 4690-LOCAL 502, Col. Ampliación, Jardines del Pedregal, Ciudad de México",19.303739,-99.190184,OPERATIONAL,4.5
ChIJ2wBWfXYAzoURuw4xFI3owhQ,Krispy Kreme Perisur,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",537,2,"Anillo Periférico 4690, Ciudad de México",19.3041495,-99.1882396,OPERATIONAL,4.1
ChIJlWs4EwD_zYUR4RjoIyYzqnw,2da sucursal El Globo,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",1,,"Anillo Periférico Boulevard Adolfo López Mateos 4690, Insurgentes Cuicuilco, Ciudad de México",19.3048843,-99.1910086,OPERATIONAL,4
ChIJmS1dxpv_zYURnC6F-eSBJek,Maricú Cocina Dulce,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",48,,"Insurgentes Cuicuilco, Ciudad de México",19.3043388,-99.1918088,OPERATIONAL,3.5
ChIJq9lXxHcAzoURE5cwYBfVJxs,Le Macaron Boutique,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",42,3,"Periferico Sur 4690, Insurgentes Cuicuilco, Ciudad de México",19.3043784,-99.1918752,OPERATIONAL,4.3
ChIJ1ZOpF_sBzoURs1IAQa9SAeE,Krispy Kreme Walmart Perisur,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",21,2,"Avenida Centro Comercial 190, Ciudad de México",19.3064068,-99.1873094,OPERATIONAL,3.7
ChIJjxUTvAUBzoURcRdfvRObjyU,Postreza,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",,,"Alba 60, Insurgentes Cuicuilco",19.3054879,-99.182835,OPERATIONAL,
ChIJ1V5MWxz_zYURMdq53Jxv8Vg,Mai Bakery Repostería,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",,,"Calle Alborada 124, Parques del Pedregal, Ciudad de México",19.2979144,-99.1912674,OPERATIONAL,
ChIJ6Tg0khIBzoUR6owT-MYapLI,La Hogaza De Tlön,bakery,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",,,"Avenida Insurgentes Sur 3493 Int-EDIF 25, Miguel Hidalgo Villa Olímpica, Ciudad de México",19.2973845,-99.1874798,OPERATIONAL,
ChIJz6E6fXYAzoURO-eSu-K4FB8,Walmart,supermarket,"['department_store', 'supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",19803,1,"Avenida Centro Comercial 190, Jardines del Pedregal, Ciudad de México",19.3063286,-99.1872956,OPERATIONAL,4.2
ChIJxZfE5XgAzoUR2KjBowRBinY,Servisol,supermarket,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",7,,"Local Comercial en Área Juegos Infantiles, Miguel Hidalgo Villa Olímpica, Ciudad de México",19.2970766,-99.1878021,OPERATIONAL,4.9
ChIJjxKttWkAzoURrjlv5sk4vLM,OXXO Cuicuilco MEX,convenience_store,"['convenience_store', 'home_goods_store', 'travel_agency', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",179,,"Anillo Periferico Y Av. Panamericana Sur S/N, Céfiro, Pedregal de Carrasco, Ciudad de México",19.3039373,-99.1800896,OPERATIONAL,3.8
